V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
1222391.80519779	1225452.13004848	1228169.70608321	1219256.61849234	1219865.03759421	1217787.88161455	1225665.86119513	1224189.48035636	1227727.48667196	1218512.81148012	1220583.72027927
1197058.67114939	1199982.52056394	1202607.50635137	1194045.07404254	1194602.83103336	1192588.33074327	1200143.34692086	1198811.61263739	1202229.37808184	1193302.94502407	1195384.61234116
1172292.1083528	1175082.02603735	1177617.26139126	1169397.21500688	1169904.57037915	1167952.76888423	1175192.91151211	1174000.48421765	1177300.40764626	1168657.07142819	1170747.8358814
1148078.78832624	1150738.49278509	1153186.0998963	1145299.83487289	1145757.41121058	1143867.08697588	1150801.28806435	1149743.51606434	1152928.05266286	1144562.00093447	1146660.52989808
1124406.22661392	1126938.41374508	1129300.17157607	1121739.97039147	1122148.41905672	1120319.07693563	1126954.93519689	1126027.40708856	1129098.92109509	1121004.70966694	1123109.77926968
1101261.13110617	1103669.32361985	1105947.41491963	1098705.10236998	1099065.03356276	1097296.19113968	1103641.62328956	1102839.856865	1105800.56170022	1097972.89384968	1100082.77744918
1078631.28349797	1080918.69045566	1083115.65371627	1076182.89433752	1076495.00878139	1074784.89844259	1080848.40693893	1080168.48335347	1083020.5821405	1075453.7284158	1077567.25531757
1056504.28157408	1058674.34701056	1060791.93807383	1054160.94976496	1054425.31062593	1052773.18133365	1058563.35425061	1058000.52597387	1060746.89108132	1053435.35295405	1055550.99830918
1034868.69181404	1036923.95744166	1038964.69894928	1032627.63765948	1032845.41384487	1031249.59656696	1036773.88361273	1036324.68931542	1038967.46568633	1031905.12317656	1034022.1761998
1013712.27850078	1015656.95875621	1017622.20994147	1011571.40639115	1011743.2679408	1010203.26017708	1015469.20621218	1015129.07889611	1017670.50375481	1010852.03508325	1012969.09933408
993024.077339695	994861.480281364	996752.850707136	990980.539672222	991106.871336407	989622.037513677	994637.539334008	994401.515259092	996844.95459034	990264.956818843	992380.529164333
