V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
749702.509566231	751427.948630489	750326.716102042	748240.933309796	749686.963343666	748046.458002656	749654.17346195	749923.72948049	751684.087480974	748872.554425792	750962.582644313
721641.273721929	723322.13496338	722257.388388042	720231.374867969	721619.279257964	720037.397105781	721566.953836238	721865.230171677	723560.050773577	720842.165139484	722863.585260334
694701.256583393	696338.957573676	695309.858528373	693342.286198773	694674.113887943	693148.431340026	694604.237168821	694927.712608068	696559.596552242	693932.959450936	695887.898717907
668837.052978415	670433.366345981	669438.192537056	667527.179052628	668805.760724143	667333.581727365	668719.255351363	669065.949345884	670637.615845933	668097.828010223	669989.027269929
644004.963082699	645560.66028301	644599.213597998	642742.817749796	643969.26126895	642549.265472674	643868.322163711	644235.626276319	645749.894500732	643294.351047238	645123.536464432
620163.701251609	621679.166182638	620750.364935435	618947.018817794	620123.462334075	618753.955792107	620008.929010495	620395.462661319	621854.15848907	619480.645248183	621248.976337782
597272.347039137	598748.442979306	597850.847621206	596099.363592881	597227.584868299	595907.276581792	597101.274490381	597504.382140503	598909.09570134	596615.553885131	598325.482008456
575291.430544145	576729.659414809	575862.225359453	574160.110322685	575243.384014149	573970.237223566	575105.446250723	575524.313419342	576877.182462514	574660.604068509	576313.585728044
554185.245369552	555585.82068951	554747.796891338	553094.054445448	554133.225499594	552905.937065399	553985.689509908	554418.439678848	555721.001504032	553578.787855505	555176.504212894
533917.947621947	535281.820171683	534472.648126854	532865.472609766	533861.747603573	532678.566886725	533705.065849513	534150.739643749	535404.479300984	533334.741010813	534879.448735494
514454.720745292	515783.697173894	515001.512374705	513439.498296645	514394.45961403	513254.254885293	514230.330261606	514687.610788851	515894.404770502	513894.169106423	515387.608856283
495762.836794942	497057.522257325	496302.303381911	494783.662699397	495699.874531572	494600.355757649	495528.283352749	495995.454405825	497157.460327624	495223.827141352	496667.826029863
477811.581216316	479073.210487305	478343.378673902	476866.869878477	477745.880181593	476685.561452761	477567.868617696	478043.295111002	479162.066480761	477293.318724227	478689.509828814
460570.629464985	461799.450429163	461095.013835626	459658.879756431	460502.52716849	459479.873710801	460318.768964714	460801.785790636	461878.565413	460072.853544931	461421.983571473
444011.089584919	445208.527038899	444528.154344445	443131.650636275	443940.709050021	442954.705749956	443751.719167599	444241.382055438	445277.785110709	443532.89114581	444837.275123687
428105.516420005	429272.015397216	428614.912817893	427256.801466761	428032.675513213	427081.922173929	427839.544614343	428334.508502662	429332.407986427	427645.809469454	428906.873873553
412827.11031151	413963.818903135	413329.304375389	412008.131186783	412752.82939664	411835.865607302	412555.949033542	413055.265124515	414015.993126413	412384.904097288	413604.54213057
398150.935200076	399258.417196886	398645.586412455	397360.696568604	398075.004103955	397190.392887722	397874.987492377	398377.43337521	399302.899593358	397725.571754645	398904.954726277
384052.24926429	385131.738029202	384539.64310993	383289.804985396	383975.021792678	383121.748739911	383772.947110577	384277.388753911	385168.836772612	383643.431812172	384783.608343714
370508.265654196	371560.614199464	370988.483856271	369771.874944804	370429.462708038	369606.525050383	370225.771230663	370731.658309991	371590.177195755	370114.999064107	371217.394812131
